pmid,title,journal,pubdate,query_families,keyword_domains,priority_score,candidate_status
32696720,Antimalarial-agent artemisinin and derivatives portray more potent binding to Lys353 and Lys31-binding hotspots of SARS-CoV-2 spike protein than hydroxychloroquine: potential repurposing of artenimol for COVID-19.,Journal of biomolecular structure & dynamics,2021 Oct,terpene_essential_oil;sesquiterpene_lactone;antiparasitic;safety,lactone;phenotype,2,title_priority_only
34302916,Sesquiterpenes from Artemisia Sieversiana and their anti-inflammatory activities.,Fitoterapia,2021 Oct,terpene_essential_oil;sesquiterpene_lactone,chemistry,2,title_priority_only
34324974,Arteannoides U-Z: Six undescribed sesquiterpenoids with anti-inflammatory activities from the aerial parts of Artemisia annua (Qinghao).,Fitoterapia,2021 Oct,terpene_essential_oil,chemistry,2,title_priority_only
34246739,"From longevity grass to contemporary soft gold: Explore the chemical constituents, pharmacology, and toxicology of Artemisia argyi H.Lév. & vaniot essential oil.",Journal of ethnopharmacology,2021 Oct 28,terpene_essential_oil;safety,chemistry,2,title_priority_only
31674834,Sesquiterpenoids from Artemisia argyi and their NO production inhibitory activity in RAW264.7 cells.,Natural product research,2021 Sep,terpene_essential_oil,chemistry,2,title_priority_only
33721186,In Vitro Nematocidal Effect and Anthelmintic Activity of Artemisia cina Against Haemonchus contortus in Gerbils and Relative Expression of Hc29 Gene in Transitional Larvae (L(3)-L(4)).,Acta parasitologica,2021 Sep,sesquiterpene_lactone;antiparasitic,phenotype,2,title_priority_only
33861424,"Effects of allelochemical artemisinin in Artemisia annua on Microcystis aeruginosa: growth, death mode, and microcystin-LR changes.",Environmental science and pollution research international,2021 Sep,terpene_essential_oil;sesquiterpene_lactone;antiparasitic,lactone,2,title_priority_only
34129923,Noreudesmane sesquiterpenoids from Artemisia hedinii and their anti-inflammatory activities.,Fitoterapia,2021 Sep,terpene_essential_oil,chemistry,2,title_priority_only
34144276,"Artematrovirenins A-P, guaiane-type sesquiterpenoids with cytotoxicities against two hepatoma cell lines from Artemisia atrovirens.",Bioorganic chemistry,2021 Sep,terpene_essential_oil,chemistry,2,title_priority_only
36303880,"Amorpha-4,11-diene synthase: a key enzyme in artemisinin biosynthesis and engineering.",aBIOTECH,2021 Sep,sesquiterpene_lactone;biosynthesis_genes,lactone;genomics,2,title_priority_only
34479182,Pharmacokinetic and tissue distribution study of eight volatile constituents in rats orally administrated with the essential oil of Artemisiae argyi Folium by GC-MS/MS.,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",2021 Sep 1,terpene_essential_oil;biosynthesis_genes;safety,chemistry,2,title_priority_only
35096100,Study on the Multitarget Mechanism and Active Compounds of Essential Oil from Artemisia argyi Treating Pressure Injuries Based on Network Pharmacology.,Evidence-based complementary and alternative medicine : eCAM,2022,terpene_essential_oil,chemistry,2,title_priority_only
35355620,"Evaluation of Antibacterial Activity and Acute Toxicity of Methanol Extracts of Artemisia absinthium, Datura stramonium, and Solanum anguivi.",Infection and drug resistance,2022,safety,phenotype,2,title_priority_only
35432559,Effects of Artemisia annua L. Essential Oil on Osteoclast Differentiation and Function Induced by RANKL.,Evidence-based complementary and alternative medicine : eCAM,2022,terpene_essential_oil,chemistry,2,title_priority_only
35734250,Basic Helix-Loop-Helix Transcription Factors AabHLH2 and AabHLH3 Function Antagonistically With AaMYC2 and Are Negative Regulators in Artemisinin Biosynthesis.,Frontiers in plant science,2022,sesquiterpene_lactone;biosynthesis_genes,lactone;genomics,2,title_priority_only
35766471,"Artemisia capillaris nucleorhabdovirus 1, a novel member of the genus Alphanucleorhabdovirus, identified in the Artemisia capillaris transcriptome.",Acta virologica,2022,genomics_phylogenomics,genomics,2,title_priority_only
35795352,Sequence Characteristics and Phylogenetic Analysis of the Artemisia argyi Chloroplast Genome.,Frontiers in plant science,2022,genomics_phylogenomics,genomics,2,title_priority_only
35992017,Constituent Composition and Biological Activity of Essential Oil from Artemisia sublessingiana.,Chemistry of natural compounds,2022,terpene_essential_oil,chemistry,2,title_priority_only
36407543,Effects of essential oil extracted from Artemisia argyi leaf on lipid metabolism and gut microbiota in high-fat diet-fed mice.,Frontiers in nutrition,2022,terpene_essential_oil;biosynthesis_genes;genomics_phylogenomics,chemistry,2,title_priority_only
36479523,Comparative and phylogenetic analysis of complete chloroplast genomes from five Artemisia species.,Frontiers in plant science,2022,sesquiterpene_lactone;genomics_phylogenomics;safety,genomics,2,title_priority_only
36942132,Hepatorenal protective activity of Artemisia against diclofenac toxicity in male rats.,The Pan African medical journal,2022,biosynthesis_genes;safety,phenotype,2,title_priority_only
