pmid,title,query_families,keyword_domains,abstract_priority_score,manual_status,abstract_status
26858285,Branch Pathway Blocking in Artemisia annua is a Useful Method for Obtaining High Yield Artemisinin.,terpene_essential_oil;sesquiterpene_lactone;diterpene_triterpene;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
26901188,Investigation of the Antiproliferative Properties of Natural Sesquiterpenes from Artemisia asiatica and Onopordum acanthium on HL-60 Cells in Vitro.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
26909993,Salicylic acid-induced changes in physiological parameters and genes of the flavonoid biosynthesis pathway in Artemisia vulgaris and Dendranthema nankingense during aphid feeding.,biosynthesis_genes,genomics;primary_methods,3,pending_manual_review,retrieved
27064403,Overexpression of AaWRKY1 Leads to an Enhanced Content of Artemisinin in Artemisia annua.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
27187805,A new irregular monoterpene acetate along with eight known compounds with antifungal potential from the aerial parts of Artemisia incisa Pamp (Asteraceae).,terpene_essential_oil,chemistry;primary_methods,3,pending_manual_review,retrieved
27220407,RNAi down-regulation of cinnamate-4-hydroxylase increases artemisinin biosynthesis in Artemisia annua.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
27251864,Rol genes enhance the biosynthesis of antioxidants in Artemisia carvifolia Buch.,biosynthesis_genes,genomics;primary_methods,3,pending_manual_review,retrieved
27388340,Overexpression of a Novel NAC Domain-Containing Transcription Factor Gene (AaNAC1) Enhances the Content of Artemisinin and Increases Tolerance to Drought and Botrytis cinerea in Artemisia annua.,terpene_essential_oil;sesquiterpene_lactone;biosynthesis_genes;genomics_phylogenomics;antiparasitic,genomics;primary_methods,3,pending_manual_review,retrieved
27396213,Anti-adipocyte Differentiation Activity and Chemical Composition of Essential Oil from Artemisia annua.,terpene_essential_oil;biosynthesis_genes,chemistry;primary_methods,3,pending_manual_review,retrieved
27447740,"Artemisia arborescens Essential Oil Composition, Enantiomeric Distribution, and Antimicrobial Activity from Different Wild Populations from the Mediterranean Area.",terpene_essential_oil;safety,chemistry;safety,3,pending_manual_review,retrieved
